Integration ID,Integration File Path,Connector ID,Connector Folder Path,assignee,Auth Details,Collect Capabilities,Params to Commands,Params for test with default in code,UCP param-default review,Params to Capabilities,generated manifest,handler param coverage,run manifest make validate,param parity test passes,code reviewed,code merged,precommit/validate/unit tests passed,Release Notes
AlienVault Reputation Feed,Packs/FeedAlienVault/Integrations/FeedAlienVaultReputation/FeedAlienVaultReputation.yml,AlienVault,connectors/alienvault,juschwartz,"{""auth_types"":[],""other_connection"":[""insecure"",""proxy""]}","[""Threat Intelligence & Enrichment""]","{""integration"":""AlienVault Reputation Feed"",""commands"":{""fetch-indicators"":[""feedTags"",""tlp_color""],""alienvault-get-indicators"":[""feedTags"",""tlp_color""],""test-module"":[""feedTags"",""tlp_color""]}}",{},✅,"{""Threat Intelligence & Enrichment"":[],""general_configurations"":[""feedTags"",""tlp_color""]}",✅,✅,✅,,,,,
AlienVault USM Anywhere,Packs/AlienVault_USM_Anywhere/Integrations/AlienVault_USM_Anywhere/AlienVault_USM_Anywhere.yml,AlienVault,connectors/alienvault,juschwartz,"{""auth_types"": [{""type"": ""Passthrough"", ""name"": ""client_credentials"", ""xsoar_param_map"": {""client_id_creds.identifier"": ""client_id"", ""client_id_creds.password"": ""client_secret""}, ""interpolated"": true}], ""other_connection"": [""insecure"", ""proxy"", ""url""]}","[""Fetch Issues"",""Automation""]","{""integration"":""AlienVault USM Anywhere"",""commands"":{""alienvault-search-alarms"":[],""alienvault-get-alarm"":[],""alienvault-search-events"":[],""alienvault-get-events-by-alarm"":[],""fetch-incidents"":[""fetch_limit"",""fetch_time"",""time_format""],""test-module"":[]}}","{""fetch_limit"":""10""}",✅,"{""Automation"":[],""Fetch Issues"":[""fetch_limit"",""fetch_time"",""time_format""],""general_configurations"":[]}",✅,✅,✅,,,,,
Anomali Enterprise,Packs/Anomali_Enterprise/Integrations/Anomali_Enterprise/Anomali_Enterprise.yml,Anomali,connectors/anomali,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""credentials.identifier"":""username"",""credentials.password"":""password""},""interpolated"":true}],""other_connection"":[""insecure"",""proxy"",""url""]}","[""Automation""]","{""integration"":""Anomali Match"",""commands"":{""anomali-enterprise-dga-domain-status"":[],""anomali-enterprise-retro-forensic-search"":[],""anomali-enterprise-retro-forensic-search-results"":[],""domain"":[""integrationReliability""],""test-module"":[""feedExpirationPolicy"",""feedExpirationInterval""]}}",{},✅,"{""Automation"":[""integrationReliability"",""feedExpirationPolicy"",""feedExpirationInterval""]}",✅,✅,✅,,,,,
Anomali ThreatStream Feed,Packs/AnomaliThreatStreamFeed/Integrations/AnomaliThreatStreamFeed/AnomaliThreatStreamFeed.yml,Anomali,connectors/anomali,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""credentials.identifier"":""username"",""credentials.password"":""password""},""interpolated"":true}],""other_connection"":[""insecure"",""url""]}","[""Threat Intelligence & Enrichment""]","{""integration"":""Anomali ThreatStream Feed"",""commands"":{""test-module"":[""createRelationships"",""tlp_color"",""feedReliability"",""fetchBy"",""confidenceThreshold"",""feedFetchInterval"",""feed"",""feedReputation"",""feedExpirationPolicy""],""threatstream-feed-get-indicators"":[""createRelationships"",""tlp_color"",""feedReliability"",""fetchBy"",""confidenceThreshold"",""feedFetchInterval"",""feed"",""feedReputation"",""feedExpirationPolicy""]}}",{},✅,"{""Threat Intelligence & Enrichment"":[""createRelationships"",""tlp_color"",""feedReliability"",""fetchBy"",""confidenceThreshold"",""feedFetchInterval"",""feed"",""feedReputation"",""feedExpirationPolicy""]}",✅,✅,✅,,,,,
Anomali ThreatStream v3,Packs/Anomali_ThreatStream/Integrations/AnomaliThreatStreamv3/AnomaliThreatStreamv3.yml,Anomali,connectors/anomali,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""credentials.identifier"":""username"",""credentials.password"":""password""},""interpolated"":true}],""other_connection"":[""insecure"",""proxy"",""url""]}","[""Automation""]","{""integration"":""Anomali ThreatStream v3"",""commands"":{""test-module"":[""integrationReliability"",""create_relationships"",""remote_api"",""indicator_default_score"",""include_inactive""],""ip"":[""ip_threshold"",""indicator_default_score"",""integrationReliability"",""create_relationships"",""remote_api""],""url"":[""url_threshold"",""indicator_default_score"",""integrationReliability"",""create_relationships"",""remote_api""],""file"":[""file_threshold"",""indicator_default_score"",""integrationReliability"",""create_relationships"",""remote_api""],""domain"":[""domain_threshold"",""indicator_default_score"",""integrationReliability"",""create_relationships"",""remote_api""],""threatstream-email-reputation"":[""email_threshold"",""indicator_default_score"",""integrationReliability"",""create_relationships"",""remote_api""],""threatstream-get-model-list"":[""include_inactive""],""threatstream-search-intelligence"":[""include_inactive""]}}",{},✅,"{""Automation"":[""integrationReliability"",""create_relationships"",""remote_api"",""indicator_default_score"",""include_inactive"",""ip_threshold"",""url_threshold"",""file_threshold"",""domain_threshold"",""email_threshold""]}",✅,✅,✅,,,,,
AnsibleACME,Packs/AnsibleLinux/Integrations/AnsibleACME/AnsibleACME.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Passthrough"",""name"":""SSH credentials"",""interpolated"":true,""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password"",""become_password"":""become_password""}}],""other_connection"":[""become"",""become_method"",""become_user"",""concurrency"",""port""]}","[""Automation""]","{""integration"":""Ansible ACME"",""commands"":{""test-module"":[],""acme-account"":[],""acme-account-info"":[],""acme-certificate"":[],""acme-certificate-revoke"":[],""acme-challenge-cert-helper"":[],""acme-inspect"":[]}}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleAlibabaCloud,Packs/AnsibleAlibabaCloud/Integrations/AnsibleAlibabaCloud/AnsibleAlibabaCloud.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password""},""interpolated"":true}],""other_connection"":[""alicloud_region""]}","[""Automation""]","{""integration"":""Ansible Alibaba Cloud"",""commands"":{""test-module"":[],""ali-instance"":[],""ali-instance-info"":[]}}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleAzure,Packs/AnsibleAzure/Integrations/AnsibleAzure/AnsibleAzure.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password""},""interpolated"":true}],""other_connection"":[""api_profile"",""cert_validation_mode"",""cloud_environment"",""subscription_id"",""tenant""]}","[""Automation""]","{
  ""commands"": {
    ""azure-rm-autoscale"": [],
    ""azure-rm-autoscale-info"": [],
    ""azure-rm-availabilityset"": [],
    ""azure-rm-availabilityset-info"": [],
    ""azure-rm-azurefirewall"": [],
    ""azure-rm-azurefirewall-info"": [],
    ""azure-rm-deployment"": [],
    ""azure-rm-deployment-info"": [],
    ""azure-rm-dnsrecordset"": [],
    ""azure-rm-dnsrecordset-info"": [],
    ""azure-rm-dnszone"": [],
    ""azure-rm-dnszone-info"": [],
    ""azure-rm-functionapp"": [],
    ""azure-rm-functionapp-info"": [],
    ""azure-rm-gallery"": [],
    ""azure-rm-gallery-info"": [],
    ""azure-rm-galleryimage"": [],
    ""azure-rm-galleryimage-info"": [],
    ""azure-rm-galleryimageversion"": [],
    ""azure-rm-galleryimageversion-info"": [],
    ""azure-rm-image"": [],
    ""azure-rm-image-info"": [],
    ""azure-rm-loadbalancer"": [],
    ""azure-rm-loadbalancer-info"": [],
    ""azure-rm-manageddisk"": [],
    ""azure-rm-manageddisk-info"": [],
    ""azure-rm-networkinterface"": [],
    ""azure-rm-networkinterface-info"": [],
    ""azure-rm-publicipaddress"": [],
    ""azure-rm-publicipaddress-info"": [],
    ""azure-rm-resource-info"": [],
    ""azure-rm-resourcegroup"": [],
    ""azure-rm-resourcegroup-info"": [],
    ""azure-rm-route"": [],
    ""azure-rm-routetable"": [],
    ""azure-rm-routetable-info"": [],
    ""azure-rm-securitygroup"": [],
    ""azure-rm-securitygroup-info"": [],
    ""azure-rm-snapshot"": [],
    ""azure-rm-subnet"": [],
    ""azure-rm-subnet-info"": [],
    ""azure-rm-trafficmanagerendpoint"": [],
    ""azure-rm-trafficmanagerendpoint-info"": [],
    ""azure-rm-trafficmanagerprofile"": [],
    ""azure-rm-trafficmanagerprofile-info"": [],
    ""azure-rm-virtualmachine"": [],
    ""azure-rm-virtualmachine-info"": [],
    ""azure-rm-virtualmachineextension"": [],
    ""azure-rm-virtualmachineextension-info"": [],
    ""azure-rm-virtualmachineimage-info"": [],
    ""azure-rm-virtualmachinescaleset"": [],
    ""azure-rm-virtualmachinescaleset-info"": [],
    ""azure-rm-virtualmachinescalesetextension"": [],
    ""azure-rm-virtualmachinescalesetextension-info"": [],
    ""azure-rm-virtualmachinescalesetinstance"": [],
    ""azure-rm-virtualmachinescalesetinstance-info"": [],
    ""azure-rm-virtualnetwork"": [],
    ""azure-rm-virtualnetwork-info"": [],
    ""azure-rm-virtualnetworkgateway"": [],
    ""azure-rm-virtualnetworkpeering"": [],
    ""azure-rm-virtualnetworkpeering-info"": [],
    ""azure-rm-webapp"": [],
    ""azure-rm-webapp-info"": [],
    ""azure-rm-webappslot"": [],
    ""test-module"": []
  },
  ""integration"": ""Ansible Azure""
}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleCiscoIOS,Packs/AnsibleCiscoIOS/Integrations/AnsibleCiscoIOS/AnsibleCiscoIOS.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Passthrough"",""name"":""SSH credentials"",""interpolated"":true,""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password"",""enable_password"":""enable_password""}}],""other_connection"":[""concurrency"",""port""]}","[""Automation""]","{
  ""commands"": {
    ""ios-banner"": [],
    ""ios-bgp"": [],
    ""ios-command"": [],
    ""ios-config"": [],
    ""ios-facts"": [],
    ""ios-interfaces"": [],
    ""ios-l2-interfaces"": [],
    ""ios-l3-interfaces"": [],
    ""ios-lacp"": [],
    ""ios-lacp-interfaces"": [],
    ""ios-lag-interfaces"": [],
    ""ios-linkagg"": [],
    ""ios-lldp"": [],
    ""ios-lldp-global"": [],
    ""ios-lldp-interfaces"": [],
    ""ios-logging"": [],
    ""ios-ntp"": [],
    ""ios-ping"": [],
    ""ios-static-route"": [],
    ""ios-system"": [],
    ""ios-user"": [],
    ""ios-vlans"": [],
    ""ios-vrf"": [],
    ""test-module"": []
  },
  ""integration"": ""Ansible Cisco IOS""
}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleCiscoNXOS,Packs/AnsibleCiscoNXOS/Integrations/AnsibleCiscoNXOS/AnsibleCiscoNXOS.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""Basic Auth"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password""},""interpolated"":true}],""other_connection"":[""concurrency"",""port""]}","[""Automation""]","{
  ""commands"": {
    ""nxos-aaa-server"": [],
    ""nxos-aaa-server-host"": [],
    ""nxos-acl"": [],
    ""nxos-acl-interface"": [],
    ""nxos-banner"": [],
    ""nxos-bfd-global"": [],
    ""nxos-bfd-interfaces"": [],
    ""nxos-bgp"": [],
    ""nxos-bgp-af"": [],
    ""nxos-bgp-neighbor"": [],
    ""nxos-bgp-neighbor-af"": [],
    ""nxos-command"": [],
    ""nxos-config"": [],
    ""nxos-evpn-global"": [],
    ""nxos-evpn-vni"": [],
    ""nxos-facts"": [],
    ""nxos-feature"": [],
    ""nxos-gir"": [],
    ""nxos-gir-profile-management"": [],
    ""nxos-hsrp"": [],
    ""nxos-igmp"": [],
    ""nxos-igmp-interface"": [],
    ""nxos-igmp-snooping"": [],
    ""nxos-install-os"": [],
    ""nxos-interface-ospf"": [],
    ""nxos-interfaces"": [],
    ""nxos-l2-interfaces"": [],
    ""nxos-l3-interfaces"": [],
    ""nxos-lacp"": [],
    ""nxos-lacp-interfaces"": [],
    ""nxos-lag-interfaces"": [],
    ""nxos-lldp"": [],
    ""nxos-lldp-global"": [],
    ""nxos-logging"": [],
    ""nxos-ntp"": [],
    ""nxos-ntp-auth"": [],
    ""nxos-ntp-options"": [],
    ""nxos-nxapi"": [],
    ""nxos-ospf"": [],
    ""nxos-ospf-vrf"": [],
    ""nxos-overlay-global"": [],
    ""nxos-pim"": [],
    ""nxos-pim-interface"": [],
    ""nxos-pim-rp-address"": [],
    ""nxos-ping"": [],
    ""nxos-reboot"": [],
    ""nxos-rollback"": [],
    ""nxos-rpm"": [],
    ""nxos-smu"": [],
    ""nxos-snapshot"": [],
    ""nxos-snmp-community"": [],
    ""nxos-snmp-contact"": [],
    ""nxos-snmp-host"": [],
    ""nxos-snmp-location"": [],
    ""nxos-snmp-traps"": [],
    ""nxos-snmp-user"": [],
    ""nxos-static-route"": [],
    ""nxos-system"": [],
    ""nxos-telemetry"": [],
    ""nxos-udld"": [],
    ""nxos-udld-interface"": [],
    ""nxos-user"": [],
    ""nxos-vlans"": [],
    ""nxos-vpc"": [],
    ""nxos-vpc-interface"": [],
    ""nxos-vrf"": [],
    ""nxos-vrf-af"": [],
    ""nxos-vrf-interface"": [],
    ""nxos-vrrp"": [],
    ""nxos-vtp-domain"": [],
    ""nxos-vtp-password"": [],
    ""nxos-vtp-version"": [],
    ""nxos-vxlan-vtep"": [],
    ""nxos-vxlan-vtep-vni"": [],
    ""test-module"": []
  },
  ""integration"": ""Ansible Cisco NXOS""
}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleDNS,Packs/AnsibleLinux/Integrations/AnsibleDNS/AnsibleDNS.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Plain"",""name"":""TSIG Key"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password""},""interpolated"":true,""verify_connection_skip"":true}],""other_connection"":[""key_algorithm"",""port"",""protocol"",""server""]}","[""Automation""]","{""integration"":""Ansible DNS"",""commands"":{""test-module"":[]}}",{},✅,"{""Automation"": [], ""general_configurations"": []}",✅,✅,✅,,,,,
AnsibleHCloud,Packs/AnsibleHetznerCloud/Integrations/AnsibleHCloud/AnsibleHCloud.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""APIKey"",""name"":""creds"",""xsoar_param_map"":{""creds.password"":""key""},""interpolated"":true}],""other_connection"":[""endpoint""]}","[""Automation""]","{""integration"":""AnsibleHCloud"",""commands"":{""test-module"":[],""hcloud-datacenter-info"":[],""hcloud-floating-ip-info"":[],""hcloud-image-info"":[],""hcloud-location-info"":[],""hcloud-network"":[],""hcloud-network-info"":[],""hcloud-rdns"":[],""hcloud-route"":[],""hcloud-server"":[],""hcloud-server-info"":[],""hcloud-server-network"":[],""hcloud-server-type-info"":[],""hcloud-ssh-key"":[],""hcloud-ssh-key-info"":[],""hcloud-subnetwork"":[],""hcloud-volume"":[],""hcloud-volume-info"":[]}}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
AnsibleKubernetes,Packs/AnsibleKubernetes/Integrations/AnsibleKubernetes/AnsibleKubernetes.yml,Red Hat Ansible,connectors/red-hat-ansible,juschwartz,"{""auth_types"":[{""type"":""Passthrough"",""name"":""kubernetes_auth"",""xsoar_param_map"":{""creds.identifier"":""username"",""creds.password"":""password"",""api_key"":""api_key""},""interpolated"":true,""verify_connection_skip"":true}],""other_connection"":[""host"",""validate_certs""]}","[""Automation""]","{""integration"":""AnsibleKubernetes"",""commands"":{""test-module"":[],""k8s-k8s"":[],""k8s-info"":[],""k8s-scale"":[],""k8s-service"":[]}}",{},✅,"{""Automation"":[],""general_configurations"":[]}",✅,✅,✅,,,,,
